"KG","Kilogramm (kg)"
"LBS","Pound (lbs)"
"G","Gramm (g)"
"MG","Milligramm (mg)"
"L","Liter"
"ML","Milliliter (ml)",
"M","Meter (m)",
"IN","Zoll"
"CM","Zentimeter (cm)"
"MM","Millimeter (mm)"
"BasePrice Error: the product unit amount must be greater the zero","BasePrice Fehler: die Menge der Produkteinheit muss gößer Null sein"
"BasePrice Error: conversion rate not found for %s to %s","BasePrice Fehler: Umrechnungsfaktor nicht gefunden für %s nach %s"
"BasePrice Error: reference unit not set","BasePrice Fehler: die Referenz Einheit ist nicht gesetzt"
"BasePrice Error: reference amount not set","BasePrice Fehler: die Referenz Menge ist nicht gesetzt"
"BasePrice Extension","BasePrice Erweiterung"
"Disable BasePrice Extension","Erweiterung deaktivieren"
"The default packaging unit to use on products for the base price (can be set on a product level, too)","Die default Packungs-Einheit für die Basispreis Berechnung (kann auch für jedes Produkt eingestellt werden)"
"The default reference unit for the base price (can be set on a product level, too)","Die default Referenz-Einheit für die Basispreis Berechnung (kann auch für jedes Produkt eingestellt werden)"
"The default reference amount for the base price (can be set on a product level, too)","Die default Referenz-Menge für die Basispreis Berechnung (kann auch für jedes Produkt eingestellt werden)"
"The Baseprice amount must be a numeric value","Die Basispreis Menge muss ein numerischer Wert sein"
"The Baseprice amount must greater then zero","Die Basispreis Menge muss größer Null sein"
"Baseprice amount in product","Basispreis Menge für das Produkt (Leer für keinen Basispreis)"
"Baseprice amount unit of product","Basispreis Einheit für das Produkt"
"Baseprice reference amount","Basispreis Referenz Menge"
"Baseprice reference unit","Basispreis Referenz Einheit"
