"KG","Kilogram (kg)"
"LBS","Pound (lbs)"
"G","Gram (g)"
"MG","Milligram (mg)"
"L","Liter"
"ML","Milliliter (ml)",
"M","Meter (m)",
"IN","Inch"
"CM","Centimeter (cm)"
"MM","Millimeter (mm)"
"The product unit amount must be greater the zero","The product unit amount must be greater the zero!"
"Conversion rate not found for %s to %s","Conversion rate not found for %s to %s!"
"Reference unit not set","Reference unit not set!"
"Reference amount not set","DReference amount not set!"
"BasePrice Extension","BasePrice Extension"
"Disable BasePrice Extension","Disable Extension"
"The default packaging unit to use on products for the base price (can be set on a product level, too)","The default packaging unit to use on products for the base price (can be set on a product level, too)"
"The default reference unit for the base price (can be set on a product level, too)","The default reference unit for the base price (can be set on a product level, too)"
"The default reference amount for the reference unit (can be set on a product level, too)","The default reference amount for the reference unit (can be set on a product level, too)"
"The Baseprice amount must be a numeric value","The Baseprice amount must be a numeric value"
"The Baseprice amount must greater then zero","The Baseprice amount must greater then zero"
"Amount in product","Amount in product"
"Leave empty for hiding display", "Leave empty for hiding display"
"Unit of product","Unit of product"
"Reference amount","Reference amount"
"Reference unit","Reference unit"
"The product settings where not saved","The product settings where not saved"
"Frontend Label (what the customer sees)","Frontend Label (what the customer sees)"
"Calculate the base price based on the product price including tax","Calculate the base price based on the product price including tax"
"Automatically append the baseprice block to the price on the product view","Automatically append the baseprice block to the price on the product view"
"Please install the BasePrice extension in order to use the BasePricePro extension!","Please install the BasePrice extension in order to use the BasePricePro extension!"
