"KG","Kilogramm (kg)"
"LBS","Pound (lbs)"
"G","Gramm (g)"
"MG","Milligramm (mg)"
"L","Liter"
"ML","Milliliter (ml)",
"M","Meter (m)",
"IN","Inch"
"CM","Centimeter (cm)"
"MM","Millimeter (mm)"
"BasePrice Error: the product unit amount must be greater the zero","BasePrice Error: the product unit amount must be greater the zero"
"BasePrice Error: conversion rate not found for %s to %s","BasePrice Error: conversion rate not found for %s to %s"
"BasePrice Error: reference unit not set","BasePrice Error: reference unit not set"
"BasePrice Error: reference amount not set","BasePrice Error: reference amount not set"
